,dataset,ensemble,alpha,threshold,Labels,Time,n_clusters,real_n,accuracy,F1_score
22,iris,Voting,0.3,0.1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1]",0.0160679817,2,3,0.6666666667,0.5555555556
23,iris,Graph,0.3,0.1,"[2 2 1 2 1 2 1 2 2 2 1 1 1 2 1 1 2 1 1 1 2 1 2 1 2 1 2 2 1 1 1 2 2 2 2 1 2
 1 1 2 2 1 2 2 2 1 2 1 2 2 3 5 3 3 5 3 3 3 5 3 3 5 3 5 3 3 3 3 5 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 5 3 3 3 3 3 3 3 3 3 3 3 3 0 3 4 3 3 4 4 3 3 3 3 3 4
 3 3 3 3 4 4 3 3 3 3 3 3 3 4 4 3 3 3 4 3 3 4 3 3 3 3 4 3 4 4 3 3 4 3 4 3 3
 3 3]",0.7031991482,6,3,0,0
24,wine,GMM_MCA,0.3,0.25,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",9.746958971,1,3,0.3314606742,0.1659634318
25,wine,GMM_Voting,0.3,0.25,"[4 4 5 4 3 4 5 5 4 4 4 5 5 4 4 5 5 4 4 4 3 3 4 4 4 4 5 5 4 4 5 4 4 5 4 4 4
 4 4 3 3 4 4 3 4 4 4 4 4 5 4 5 5 5 4 4 4 5 5 7 3 7 7 0 0 3 7 7 3 3 4 0 7 4
 4 7 0 7 3 7 0 3 7 7 7 7 7 7 3 7 7 7 7 0 0 4 7 7 3 0 3 7 7 0 3 0 7 7 0 3 7
 0 7 7 0 0 7 0 0 7 7 7 0 0 0 0 0 7 0 7 7 7 7 7 0 3 3 7 7 7 7 3 7 7 4 4 0 7
 0 7 7 7 7 3 7 3 7 4 3 7 7 3 7 3 7 7 3 3 3 7 7 7 3 3 3 4 4 7]",0.2827091217,5,3,0,0
26,wine,GMM_Pair,0.3,0.25,"[1 1 0 0 3 0 0 0 1 1 0 0 0 0 0 0 0 2 0 5 3 3 1 1 5 5 0 0 6 1 0 0 1 0 2 6 6
 2 1 3 3 1 2 7 6 1 1 1 1 0 0 0 0 0 1 2 2 0 0 4 7 4 4 4 4 7 4 4 3 3 6 4 4 1
 6 4 4 4 3 4 4 3 4 4 4 4 4 4 7 4 4 4 4 4 4 1 4 4 7 4 3 4 4 4 7 4 4 4 4 7 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 3 4 4 4 4 3 4 4 5 5 4 4
 7 4 4 4 4 7 4 3 4 6 7 4 4 7 4 7 4 4 7 7 3 4 4 4 7 3 3 5 5 4]",0.0484957695,8,3,0.1516853933,0.0800865801
27,wine,MM,0.3,0.25,"[8 8 3 3 2 3 3 3 8 8 3 3 3 8 3 3 3 8 3 7 2 2 8 8 7 7 3 3 7 8 3 3 8 3 8 7 7
 8 8 2 2 8 8 2 7 8 8 8 8 3 8 3 3 3 8 8 8 3 3 4 2 4 5 1 1 2 4 4 2 2 7 1 4 8
 7 4 1 4 2 4 1 2 5 4 4 4 4 5 2 5 4 4 4 1 1 8 5 4 2 1 2 5 4 1 2 1 4 4 1 2 5
 1 5 4 1 1 4 1 1 5 5 4 1 1 1 1 1 4 1 5 5 4 5 5 5 2 2 4 5 5 5 2 4 5 7 7 1 5
 5 5 4 4 4 2 5 2 4 7 2 5 4 2 5 2 5 4 2 2 2 5 4 4 2 2 2 7 7 5]",626.230004549,7,3,0.202247191,0.1028144358
28,wine,Voting,0.3,0.25,"[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0]",0.005480051,2,3,0.0561797753,0.0429072682
29,wine,Graph,0.3,0.25,"[7 7 6 5 3 5 6 6 7 7 5 6 6 7 5 6 6 7 5 7 4 4 7 7 7 7 6 6 7 7 6 5 7 6 7 7 7
 7 7 4 4 7 7 3 7 7 7 7 7 6 7 6 6 6 7 7 7 6 6 3 3 3 3 3 1 3 3 3 4 3 7 3 3 7
 7 3 1 3 4 3 1 3 2 3 3 3 3 3 3 0 3 3 3 1 1 7 0 3 3 3 3 3 3 3 3 3 3 3 3 3 2
 3 3 3 1 3 3 1 1 2 0 3 3 3 1 3 3 3 1 2 3 3 2 0 0 3 3 3 0 3 0 4 3 2 7 7 3 2
 3 2 3 3 3 3 3 3 3 7 3 3 3 3 0 3 2 3 3 3 4 3 3 3 3 3 4 7 7 0]",0.4168021679,8,3,0.0842696629,0.0527940221
30,iris,GMM_MCA,0.3,0.25,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]",7.1919691563,1,3,0.3333333333,0.1666666667
31,iris,GMM_Voting,0.3,0.25,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]",0.0811555386,1,3,0.3333333333,0.1666666667
